Generation  Solution
1000					
1000					
1000					
91	    [2, 7, 11, 3, 1, 9, 5, 0, 4, 10, 8, 6]
1000					
370	    [3, 7, 10, 2, 5, 9, 4, 0, 8, 11, 1, 6]
102	    [11, 6, 4, 2, 8, 3, 7, 10, 1, 9, 0, 5]
1000					
1000					
62	    [0, 5, 3, 6, 10, 2, 11, 9, 7, 4, 8, 1]
146	    [2, 8, 6, 0, 9, 5, 1, 10, 4, 7, 11, 3]
478	    [5, 0, 2, 11, 8, 1, 9, 4, 10, 7, 3, 6]
21	    [4, 10, 0, 2, 9, 7, 3, 1, 8, 5, 11, 6]
124	    [3, 7, 11, 4, 1, 10, 8, 5, 2, 9, 6, 0]
171	    [10, 3, 5, 0, 11, 9, 7, 1, 4, 2, 8, 6]
58	    [4, 8, 1, 5, 2, 10, 7, 0, 11, 9, 6, 3]
1000					
1000					
69	    [4, 9, 0, 8, 3, 7, 2, 10, 1, 6, 11, 5]
1000					
118	    [10, 7, 0, 2, 5, 8, 11, 9, 3, 6, 4, 1]
37	    [8, 4, 0, 9, 11, 2, 5, 7, 10, 1, 3, 6]
1000					
1000					
14	    [1, 6, 10, 3, 7, 0, 2, 11, 5, 8, 4, 9]

